Andhra Pradesh,Anantapur,Chittoor,East Godavari,Guntur,Cuddapah,Krishna,Kurnool,Prakasam,Nellore,Srikakulam,Vishakhapatnam,Vizianagaram,West Godavari
Arunachal Pradesh,Anjaw,Changlang,Dibang Valley,East Kameng,East Siang,Itanagar,Kamle,Kra Daadi,Kurung Kumey,Lepa Rada,Lohit,Longding,Lower Dibang Valley,Lower Siang,Lower Subansiri,Namsai,Pakke Kessang,Papum Pare,Shi Yomi,Siang,Tawang,Tirap,Upper Siang,Upper Subansiri,West Kameng,West Siang
Assam,Baksa,Barpeta,Biswanath,Bongaigaon,Cachar,Charaideo,Chirang,Darrang,Dhemaji,Dhubri,Dibrugarh,Dima Hasao (North Cachar Hills),Goalpara,Golaghat,Hailakandi,Hojai,Jorhat,Kamrup,Kamrup Metropolitan,Karbi Anglong,Karimganj,Kokrajhar,Lakhimpur,Majuli,Morigaon,Nagaon,Nalbari,Sivasagar,Sonitpur,South Salamara-Mankachar,Tinsukia,Udalguri,West Karbi Anglong
Bihar,Araria,Arwal,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,East Champaran (Motihari),Gaya,Gopalganj,Jamui,Jehanabad,Kaimur (Bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger (Monghyr),Muzaffarpur,Nalanda,Nawada,Patna,Purnia (Purnea),Rohtas,Saharsa,Samastipur,Saran,Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,West Champaran
Chhattisgarh,Bijapur,Sukma,Dantewada,Bastar,Kondagaon,,Narayanpur,,Kanker,Kawardha,Rajnandgaon,Balod,Durg,Unmatched,Dhamtari,Gariaband,Raipur,Balodabazar-bhatapara,,Mahasamund,Bilaspur,Mungeli,Korba,Janjgir-Champa,Raigad,Gorella-Pendra-Marwahi,Jashpur,Korea,Surajpur,Surguja,Balrampur
Goa,North Goa (Panji),South Goa (Margao)
Gujarat,Ahmedabad,Amreli,Anand,Aravalli,Banaskantha (Palanpur),Bharuch,Bhavnagar,Botad,Chhota Udepur,Dahod,Dangs (Ahwa),Devbhoomi Dwarka,Gandhinagar,Gir Somnath,Jamnagar,Junagadh,Kachchh,Kheda (Nadiad),Mahisagar,Mehsana,Morbi,Narmada (Rajpipla),Navsari,Panchmahal (Godhra),Patan,Porbandar,Rajkot,Sabarkantha (Himmatnagar),Surat,Surendranagar,Tapi (Vyara),Vadodara,Valsad
Haryana,Ambala,Bhiwani,Charkhi Dadri,Faridabad,Fatehabad,Gurugram,Hisar,Jhajjar,Jind,Kaithal,Karnal,Kurukshetra,Mahendragarh,Nuh,Palwal,Panchkula,Panipat,Rewari,Rohtak,Sirsa,Sonipat,Yamunanagar
Himachal Pradesh,Bilaspur,Chamba,Hamirpur,Kangra,Kinnaur,Kullu,Lahaul & Spiti,Mandi,Shimla,Sirmaur,Solan,Una
Jharkhand, Garhwa, Palamu, Latehar, Chatra, Hazaribagh, Koderma, Giridih, Ramgarh, Bokaro, Dhanbad, Gumla, Lohardaga, Simdega, Ranchi, Khunti, West Singhbhum, Saraikela Kharsawan, East Singhbhum, Jamtara, Deoghar, Dumka, Pakur, Godda, Sahebgan
Karnataka, Bagalkot , Ballari , Bangalore Rural , Belagavi , Bengaluru , Bidar , Chamarajanagar , Chikballapur , Chikkamagaluru , Chitradurga , Dakshina Kannada , Davanagere , Dharwad , Gadag , Hassan , Haveri , kalaburagi, Kodagu , Kolar , Koppal , Mandya , Mysuru , Raichur , Ramanagara , Shivamogga , Tumakuru , Udupi , Uttara Kannada , Vijayapura , Yadgir
Kerala,Alappuzha,Ernakulam,Idukki,Kannur,Kasaragod,Kollam,Kottayam,Kozhikode,Malappuram,Palakkad,Pathanamthitta,Thiruvananthapuram,Thrissur,Wayanad
Madhya Pradesh,Agar Malwa,Alirajpur,Anuppur,Ashoknagar,Balaghat,Barwani,Betul,Bhind,Bhopal,Burhanpur,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Khandwa,Khargone,Mandla,Mandsaur,Morena,Narsinghpur,Neemuch,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Seoni,Shahdol,Shajapur,Sheopur,Shivpuri,Sidhi,Singrauli,Tikamgarh,Ujjain,Umaria,Vidisha
Maharashtra,Ahmednagar,Akola,Amravati,Aurangabad,Beed,Bhandara,Buldhana,Chandrapur,Dhule,Gadchiroli,Gondia,Hingoli,Jalgaon,Jalna,Kolhapur,Latur,Mumbai City,Mumbai Suburban,Nagpur,Nanded,Nandurbar,Nashik,Osmanabad,Palghar,Parbhani,Pune,Raigad,Ratnagiri,Sangli,Satara,Sindhudurg,Solapur,Thane,Wardha,Washim,Yavatmal
Manipur,Bishnupur,Chandel,Churachandpur,Imphal-East,Imphal-West,Senapati,Tamenglong,Thoubal,Ukhrul,Kangpokpi,Tengnoupal,Pherzawl,Noney,Kamjong,Jiribam,Kakching
Meghalaya,West Jaintia Hills ,East Jaintia Hills ,East Khasi Hills ,West Khasi Hills ,South West Khasi Hills ,Ri-Bhoi ,North Garo Hills ,East Garo Hills ,South Garo Hills ,West Garo Hills ,South West Garo Hills 
Mizoram,Aizawl ,Champhai ,Kolasib ,Lawngtlai ,Lunglei ,Mamit ,Saiha ,Serchhip ,Hnahthial,Saitual,Khawzawl
Nagaland, Dimapur, Kiphire, Kohima, Longleng, Mokokchung, Mon, Peren, Phek, Tuensang, Wokha, Zunheboto, Noklak
Odisha,Anugul,Bargarh,Bhadrak,Balasore,Balangir,Boudh,Cuttack,Deogarh,Dhenkanal,Gajapati,Ganjam,Jagatsinghpur,Jajpur,Jharsuguda,Kalahandi,Kandhamal,KendraPara,Keonjhar,Khurda,Koraput,Malkangiri ,Mayurbhanj,Nuapada,Nabarangpur,Nayagarh,Puri,Rayagada,Sambalpur,Sonepur,Sundargarh
Punjab,Amritsar,Barnala,Bathinda,Faridkot,Fatehgarh Sahib,Firozpur,Fazilka,Gurdaspur,Hoshiarpur,Jalandhar,Kapurthala,Ludhiana,Mansa,Moga,Sri Muktsar Sahib,Pathankot,Patiala,Rupnagar,Sahibzada Ajit Singh Nagar,Sangrur,Shahid Bhagat Singh Nagar,Taran Taran
Rajasthan,Ajmer,Alwar,Banswara,Baran,Barmer,Bharatpur,Bhilwara,Bikaner,Bundi,Chittorgarh,Churu,Dausa,Dholpur,Dungarpur,Hanumangarh,Jaipur,Jaisalmer,Jalor,Jhalawar,Jhunjhunu,Jodhpur,Karauli,Kota,Nagaur,Pali,Pratapgarh,Rajsamand,Sawai Madhopur,Sikar,Sirohi,Sri Ganganagar,Tonk,Udaipur
Sikkim,East Sikkim,North Sikkim,South Sikkim,West Sikkim
Tamil Nadu,Ariyalur,Chengalpattu,Chennai,Coimbatore,Cuddalore,Dharmapuri,Dindigul,Erode,Kallakurichi,Kanchipuram,Kanyakumari,Karur,Krishnagiri,Madurai,Mayiladuthurai,Nagapattinam,Namakkal,Nilgiris,Perambalur,Pudukkottai,Ramanathapuram,Ranipet,Salem,Sivagangai,Tenkasi,Thanjavur,Theni,Thoothukudi,Tiruchirappalli,Tirunelveli,Tirupattur,Tiruppur,Tiruvallur,Tiruvannamalai,Tiruvarur,Vellore,Viluppuram,Virudhunagar
Telangana,Adilabad,Bhadradri Kothagudem,Hyderabad,Jagtial,Jangaon,Jayashankar Bhupalpally,Jogulamba Gadwal,Kamareddy,Karimnagar,Khammam,Kumuram Bheem,Mahabubabad,Mahabubnagar,Mancherial,Medak,Medchal,Mulugu,Nagarkurnool,Nalgonda,Narayanpet,Nirmal,Nizamabad,Peddapalli,Rajanna Sircilla,Rangareddy,Sangareddy,Siddipet,Suryapet,Vikarabad,Wanaparthy,Warangal (Rural),Warangal (Urban),Yadadri Bhuvanagiri
Tripura,Dhalai,Sipahijala,Khowai,Gomati,Unakoti,North Tripura,South Tripura,West Tripura
Uttar Pradesh,Agra,Aligarh,Ambedkar Nagar,Amethi,Amroha,Auraiya,Ayodhya,Azamgarh,Baghpat,Bahraich,Ballia,Balrampur,Banda,Barabanki,Bareilly,Basti,Bhadohi,Bijnor,Budaun,Bulandshahar,Chandauli,Chitrakoot,Deoria,Etah,Etawah,Farukkhabad,Fatehpur,Firozabad,Gautam Buddha Nagar,Ghaziabad,Ghazipur,Gonda,Gorakhpur,Hamirpur,Hapur,Hardoi,Hathras,Jalaun,Jaunpur,Jhansi,Kannauj,Kanpur Dehat,Kanpur Nagar,Kasganj,Kaushambi,Kushi Nagar,Lakhimpur Kheri,Lalitpur,Lucknow,Maharajganj,Mahoba,Mainpuri,Mathura,Mau,Meerut,Mirzapur,Moradabad,Muzaffar Nagar,Pilibhit,Pratapgarh,Prayagraj,Raebareli,Rampur,Saharanpur,Sambhal,Sant Kabir Nagar,Shahjahanpur,Shamli,Shravasti,Siddharth Nagar,Sitapur,Sonbhadra,Sultanpur,Unnao,Varanasi
Uttarakhand,Dehradun,Haridwar,Chamoli,Rudraprayag,Tehri Garhwal,Uttarkashi,Pauri Garhwal,Almora,Nainital,Pithoragarh,U S Nagar,Bageshwar,Champawat
West Bengal,Alipurduar,Bankura,Paschim Bardhaman,Purba Bardhaman,Birbhum,Cooch Behar,Darjeeling,Uttar Dinajpur,Dakshin Dinajpur,Hooghly,Howrah,Jalpaiguri,Jhargram,Kolkata,Kalimpong,Malda,Paschim Medinipur,Purba Medinipur,Murshidabad,Nadia,North 24 Parganas,South 24 Parganas,Purulia
Andaman and Nicobar Islands,Nicobar Islands,North and Middle Andaman,South Andaman
Chandigarh,Chandigarh
Dadra and Nagar Haveli and Daman and Diu,Daman,Diu
Delhi (NCT),New Delhi,North Delhi,North West Delhi,West Delhi,South West Delhi,South Delhi,South East Delhi,Central Delhi,North East Delhi,Shahdara,East Delhi
Jammu and Kashmir,Doda ,Jammu ,Kathua ,Kishtwar ,Poonch ,Rajouri ,Ramban ,Reasi ,Samba ,Udhampur ,Anantnag ,Bandipora ,Baramulla ,Budgam ,Ganderbal ,Kulgam ,Kupwara ,Pulwama ,Shopian ,Srinagar
Ladakh,Kargil,Leh
Lakshadweep,Lakshadweep
Puducherry,Puducherry,Karaikal,Mahe,Yanam